藥品代碼,藥品名稱,數量
A024867100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,588.5
A024873100,PHENAZOPYRIDINE ， 一般錠劑膠囊劑 ， 100.00 MG,0
A024878335,TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM， 外用軟膏劑， 15.00GM,2
A0248851G0,LORAZEPAM ， 一般錠劑膠囊劑 ， 1.00 MG,0
A024888100,CEPHALEXIN ， 一般錠劑膠囊劑 ， 500.00 MG,0
A024889151,CARBOCYSTEINE ， 口服液劑 ， 50.00  MG/ML ， 60.00 ML,37252
A024913100,DIPHENHYDRAMINE ， 一般錠劑膠囊劑 ， 50.00 MG,0
A024921100,CLEMASTINE ， 一般錠劑膠囊劑 ， 1.00 MG,43
A024924216,DICLOFENAC ， 注射劑 ， 75.00 MG,0
A024935100,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,0
A024946100,LEVAMISOLE ， 一般錠劑膠囊劑 ， 50.00 MG,0
A024952229,DEXAMETHASONE ， 注射劑 ， 40.00 MG,5
A024958100,CLEMASTINE ， 一般錠劑膠囊劑 ， 1.00 MG,33406.2
A024974100,BETAHISTINE ， 一般錠劑膠囊劑 ， 6.00 MG,0
A025017100,DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG， 一般錠劑膠囊劑，,0
A025027100,DEXCHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 2.00 MG,410949.9
A025031100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 500.00 MG,0
A025039109,DIASTASE 60MG/GM + LYPASE 10MG/GM + NEWLASE 20MG/GM， 口服顆粒劑， 1000.00GM,0
A025039199,DIASTASE 60MG/GM + LYPASE 10MG/GM + NEWLASE 20MG/GM， 口服顆粒劑， 1.00GM,0
A025054100,FENOTEROL ， 一般錠劑膠囊劑 ， 5.00 MG,16582.1
A025055100,ACETAMINOPHEN 325MG + ORPHENADRINE 50MG， 一般錠劑膠囊劑,0
A025057100,TRANEXAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A0250581G0,DIAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,0
A025060221,TRANEXAMIC ACID ， 注射劑 ， 500.00 MG,0
A025081100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,269852.3
A025083100,CEFADROXIL ， 一般錠劑膠囊劑 ， 500.00 MG,0
A025086100,VITAMIN B1 5MG + VITAMIN B2 10MG + VITAMIN B6 15MG + VITAMIN B12 3MCG + NICOTINAMIDE 20MG + PANTOTHENIC ACID 10MG + VIT C 30MG，一般錠劑膠囊劑,0
A025089100,VITAMIN B1 100MG + VITAMIN B6  100MG + VITAMINE B12 1MG， 一般錠劑膠囊劑，,0
A025091100,OXETHAZAINE 5MG + ALUMINUM SILICATE 100MG， 一般錠劑膠囊劑，,700164.5
A025095100,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,0
A025108100,NOSCAPINE ， 一般錠劑膠囊劑 ， 20.00 MG,0
A025121100,BROMHEXINE ， 一般錠劑膠囊劑 ， 12.00 MG,115554.5
A025123100,TRANEXAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A025124100,ZINC， 一般錠劑膠囊劑 ， 15.00 MG,2760
A025125209,CEFAMANDOLE ， 注射劑 ， 1000.00 MG,26
A025130100,LYSOZYME ， 一般錠劑膠囊劑 ， 50.00 MG,0
A025136321,CLOTRIMAZOLE ， 外用軟膏劑 ， 10.00  MG/GM ， 5.00 GM,82908.8
A025136329,CLOTRIMAZOLE ， 外用軟膏劑 ， 10.00  MG/GM ， 10.00 GM,118004
A025142100,CLOXACILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A025149100,BIODIASTASE 30MG + LIPASE 5MG + NEWLASE 10MG， 一般錠劑膠囊劑，,4704
A025160100,ACETYLSALICYLIC ACID ，一般錠劑膠囊劑， 500.00 MG,1787
A025163100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 750.00 MCG,0
A025170100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 500.00 MG,0
A025185174,ALUMINUM HYDROXIDE ， 內服液劑 ， 40.00  MG/ML ， 473.00 ML,0
A025191100,CHLORPROMAZINE ， 一般錠劑膠囊劑 ， 50.00 MG,0
A025195100,DIPROPHYLLINE 200MG + GUAIFENESIN 200MG， 一般錠劑膠囊劑，,0
A025196100,OXETHAZAINE 5MG + ALUMINUM SILICATE 100MG， 一般錠劑膠囊劑，,0
A0252021G0,PIROXICAM ， 一般錠劑膠囊劑 ， 10.00 MG,69
A025209100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,8899
A025214100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 4.00 MG,65595.3
A025218329,MICONAZOLE ， 外用軟膏劑 ， 20.00  MG/GM ， 10.00 GM,0
A025221100,AMOXICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A025223100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A025237321,RETINOIC ACID (=TRETINOIN) ， 外用軟膏劑 ， 1.00  MG/GM ， 5.00 GM,25395.1
A025245209,HYDRALAZINE ， 注射劑 ， 20.00 MG,12
A025254100,LYSOZYME ， 一般錠劑膠囊劑 ， 90.00 MG,0
A025275100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,433607.9
A025279100,LYSOZYME ， 一般錠劑膠囊劑 ， 90.00 MG,0
A025287277,CEFAMANDOLE ， 注射劑 ， 500.00 MG,28
A025291325,TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM， 外用軟膏劑， 7.50GM,16
A025301100,OXOLAMINE ， 一般錠劑膠囊劑 ， 100.00 MG,0
A025304100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,47415.5
A025306100,CEPHALEXIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A025309157,CARBOCYSTEINE ， 口服液劑 ， 20.00  MG/ML ， 120.00 ML,62376.3
A025310100,PIROXICAM ， 一般錠劑膠囊劑 ， 10.00 MG,9
A025316100,TRANEXAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A0253161G0,TRANEXAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A025322100,NOSCAPINE ， 一般錠劑膠囊劑 ， 10.00 MG,0
A025381100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A025396100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,0
A0253961G0,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,0
A025402100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 200.00 MG,0
A0254021G0,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 200.00 MG,0
A025419100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,188792.8
A025420100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 1000.00 MCG,0
A025426212,VITAMIN B6 (=PYRIDOXAL 5-PHOSPHATE) ， 注射劑 ， 20.00 MG,0
A025428421,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,0
A025431100,DIPYRIDAMOLE ， 一般錠劑膠囊劑 ， 75.00 MG,2282
A025433100,INDOMETHACIN ， 一般錠劑膠囊劑 ， 25.00 MG,0
A025436100,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,3323
A025437100,ERGOTAMINE 500MCG + CAFFEINE 25MG， 一般錠劑膠囊劑，,0
A025460100,TRANEXAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A025466100,LEVAMISOLE ， 一般錠劑膠囊劑 ， 40.00 MG,0
A025467100,LYSOZYME ， 一般錠劑膠囊劑 ， 50.00 MG,0
A025471100,PIRENZEPINE ， 一般錠劑膠囊劑 ， 25.00 MG,351
A025477100,BETAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,0
A025483100,MEBENDAZOLE ， 一般錠劑膠囊劑 ， 100.00 MG,0
A025495100,NAPROXEN ， 一般錠劑膠囊劑 ， 250.00 MG,2979
A025504421,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,0
A025509100,VITAMIN B2 (=RIBOFLAVIN) ， 一般錠劑膠囊劑 ， 5.00 MG,0
A025512100,RIBOFLAVIN (=VIT B2) 10.000MG + CALCIUM GLYCEROPHOSPHATE 50.000MG + BIOTIN 0.500MG + NIACINAMIDE (=NICOTINAMIDE) 20.000MG + PYRIDOXINE HCL 2.000MG + PANTOTHENATE CALCIUM 10.000MG， 一般錠劑膠囊劑,0
A025520100,METHOTREXATE ， 一般錠劑膠囊劑 ， 2.50 MG,958.5
A025524100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,24
A0255241G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,0
A025539229,LINCOMYCIN ， 注射劑 ， 3000.00 MG,0
A025547100,ESTRADIOL 20MCG + NORETHINDRONE 10MG， 一般錠劑膠囊劑，,0
A025556100,LORAZEPAM ， 一般錠劑膠囊劑 ， 1.00 MG,0
A025557100,SULPIRIDE ， 一般錠劑膠囊劑 ， 50.00 MG,0
A025567309,TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM， 外用軟膏劑， 1000.00GM,0
A025567321,TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM， 外用軟膏劑， 5.00GM,0
A025567329,TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM， 外用軟膏劑， 10.00GM,3
A025570100,LYSOZYME ， 一般錠劑膠囊劑 ， 50.00 MG,0
A025581100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,129542.5
A025582100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,96296.4
A025588100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 7.67 - 10.00 MG,0
A025590100,LYSOZYME ， 一般錠劑膠囊劑 ， 50.00 MG,0
A025596100,INDOMETHACIN ， 一般錠劑膠囊劑 ， 25.00 MG,3109.8
A025601100,EPRAZINONE ， 一般錠劑膠囊劑 ， 30.00 MG,1472406.3
A025617100,CEFADROXIL ， 一般錠劑膠囊劑 ， 500.00 MG,0
A025624100,PIPRINHYDRINATE ， 一般錠劑膠囊劑 ， 3.00 MG,19314.5
A025628100,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,75120
A025629100,DICYCLOMINE ， 一般錠劑膠囊劑 ， 10.00 MG,0
A025643100,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,0
A025644100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 7.67 - 10.00 MG,0
A025654212,METOCLOPRAMIDE ， 注射劑 ， 10.00 MG,154.6
A025659100,CEFADROXIL ， 一般錠劑膠囊劑 ， 500.00 MG,0
A025662100,PIROXICAM ， 一般錠劑膠囊劑 ， 10.00 MG,0
A025688100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,100
A025692100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,207661.6
A025711100,CEFADROXIL ， 一般錠劑膠囊劑 ， 500.00 MG,69893.1
A025715100,LYSOZYME ， 一般錠劑膠囊劑 ， 30.00 MG,0
A025716100,TRANEXAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A0257173B9,TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM， 外用軟膏劑， 900.00GM,0
A025720100,KETOPROFEN ， 一般錠劑膠囊劑 ， 50.00 MG,39
A025723100,IBUPROFEN ， 一般錠劑膠囊劑 ， 200.00 MG,0
A025726100,FENOTEROL ， 一般錠劑膠囊劑 ， 2.50 MG,0
A025732100,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,0
A025739100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A025760109,ACETYLCYSTEINE ， 口服顆粒劑 ， 40.00 MG,16880
A025768100,OXOLAMINE ， 一般錠劑膠囊劑 ， 100.00 MG,0
A025773100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 500.00 MG,267
A025778100,BIODIASTASE 30MG + LIPASE 5MG + NEWLASE 10MG， 一般錠劑膠囊劑，,67295.1
A025789100,LYSOZYME ， 一般錠劑膠囊劑 ， 90.00 MG,0
A025803209,HYDROXYPROGESTERONE ， 注射劑 ， 125.00 MG,0
A025806100,DIPROPHYLLINE ， 一般錠劑膠囊劑 ， 100.00 MG,32910.5
A025817100,PIROXICAM ， 一般錠劑膠囊劑 ， 10.00 MG,0
A0258281G0,PIROXICAM ， 一般錠劑膠囊劑 ， 10.00 MG,219
A025830100,LYSOZYME ， 一般錠劑膠囊劑 ， 50.00 MG,0
A025833100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,75
A025835100,LYSOZYME ， 一般錠劑膠囊劑 ， 60.00 MG,0
A025848100,ACETYLSALICYLIC ACID ， 一般錠劑膠囊劑 ， 81-325，MG,0
A025851100,DIPYRIDAMOLE ， 一般錠劑膠囊劑 ， 25.00 MG,25582
A025856100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,4261.5
A025857100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 500.00 MG,0
A025860343,LIDOCAINE ， 外用軟膏劑 ， 20.00  MG/GM ， 30.00 GM,0
A025866100,AMOXICILLIN ， 一般錠劑膠囊劑 ， 500.00 MG,15
A025870100,PHENYLPROPANOLAMINE 50MG + PHENYLEPHRINE 10MG + CHLORPHENIRAMINE 4MG + PYRILAMINE 25MG， 一般錠劑膠囊劑，,0
A025874100,LYSOZYME ， 一般錠劑膠囊劑 ， 30.00 MG,0
A025905100,METAPROTERENOL 5MG + DOXYLAMINE 7.5MG + BROMHEXINE 8MG， 一般錠劑膠囊劑，,0
A025908209,DIPHENIDOL ， 注射劑 ， 20.00 MG,0
A025908212,DIPHENIDOL ， 注射劑 ， 40.00 MG,0
A025921100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,57040
A025937100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,104194.5
A025939100,ACETYLCYSTEINE ， 一般錠劑膠囊劑 ， 200.00 MG,912434.7
A025941100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,0
A025944100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,9369
A025949100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,0
A025956100,NORETHINDRONE ， 一般錠劑膠囊劑 ， 5.00 MG,0
A025959277,CEFAZOLIN (=CEPHAZOLIN) ， 注射劑 ， 500.00 MG,8
A025965100,SPIRONOLACTONE ， 一般錠劑膠囊劑 ， 25.00 MG,0
A025967500,ECONAZOLE ， 陰道用錠劑膠囊劑 ， 150.00 MG,3
A025970100,PIRENZEPINE ， 一般錠劑膠囊劑 ， 25.00 MG,0
A025975100,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,0
A025976100,LYSOZYME ， 一般錠劑膠囊劑 ， 30.00 MG,0
A025977109,AMOXICILLIN ， 口服顆粒劑 ， 200000.00 MG,0
A026007100,LYSOZYME ， 一般錠劑膠囊劑 ， 90.00 MG,0
A026008100,DIPYRIDAMOLE ， 一般錠劑膠囊劑 ， 25.00 MG,3197
A026019100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 4.00 MG,0
A026025100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,5973.5
A026026100,TRANEXAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A026033100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,0
A026039100,LOPERAMIDE ， 一般錠劑膠囊劑 ， 2.00 MG,8579.5
A026041100,TRANEXAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,9950
A026043100,DIPHENIDOL ， 一般錠劑膠囊劑 ， 25.00 MG,7157.5
A026045100,CEFADROXIL ， 一般錠劑膠囊劑 ， 500.00 MG,0
A026056100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 500.00 MG,2301264.6
A026058209,PIPRINHYDRINATE ， 注射劑 ， 3.00 MG,0
A026073100,SULFAMETHOXAZOLE 400MG + TRIMETHOPRIM 80MG， 一般錠劑膠囊劑，,0
A026078100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,1016888.1
A026084100,SALBUTAMOL ， 一般錠劑膠囊劑 ， 4.00 MG,0
A026098100,LOPERAMIDE ， 一般錠劑膠囊劑 ， 2.00 MG,0
A026102100,IBUPROFEN ， 一般錠劑膠囊劑 ， 200.00 MG,979
A026105100,DIHYDROERGOTOXINE ， 一般錠劑膠囊劑 ， 1500.00 MCG,0
A026106100,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,0
A026123157,METAPROTERENOL 0.5MG/ML + DOXYLAMINE 0.75MG/ML + BROMHEXINE 0.8MG/ML， 口服液劑， 120.00ML,0
A026128348,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 50.00 GM,0
A026153100,LOPERAMIDE ， 一般錠劑膠囊劑 ， 2.00 MG,0
A026154100,BUMETANIDE ， 一般錠劑膠囊劑 ， 1.00 MG,0
A026155329,TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM， 外用軟膏劑， 10.00GM,0
A026157100,FONAZINE ， 一般錠劑膠囊劑 ， 20.00 MG,0
A026158100,CHLOPHEDIANOL ， 一般錠劑膠囊劑 ， 25.00 MG,0
A026164100,ACETYLSALICYLIC ACID 350MG + CAFFEINE 30MG， 一般錠劑膠囊劑，,3218
A026171100,ACETAMINOPHEN 80MG + ETHENZAMIDE 200MG + BROMISOVALUM 100MG + CAFFEINE 25MG， 一般錠劑膠囊劑，,0
A026177399,TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM， 外用軟膏劑， 1.00GM,0
A026185100,ISOPRINOSINE ， 一般錠劑膠囊劑 ， 500.00 MG,18
A026192100,AMPICILLIN ， 一般錠劑膠囊劑 ， 500.00 MG,0
A026195100,GUAIFENESIN ， 一般錠劑膠囊劑 ， 200.00 MG,0
A026209100,AZULENE ， 一般錠劑膠囊劑 ， 2.00 MG,0
A026232421,CARBENOXOLONE ， 口內膏 ， 20.00  MG/GM ， 5.00 GM,0
A026243100,LOPERAMIDE ， 一般錠劑膠囊劑 ， 2.00 MG,0
A026276100,LYSOZYME ， 一般錠劑膠囊劑 ， 90.00 MG,0
A026278100,NOSCAPINE ， 一般錠劑膠囊劑 ， 15.00 MG,0
A026280100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,139577.4
A026281100,BIOTIN 250.000MG + NIACINAMIDE (=NICOTINAMIDE) 10.000MG + RIBOFLAVIN (=VIT B2) 10.000MG + PYRIDOXINE 5.000MG + PANTOTHENATE CALCIUM 50.000MG， 一般錠劑膠囊劑,0
A026284100,DIPHENIDOL ， 一般錠劑膠囊劑 ， 25.00 MG,0
A026287100,ACETAMINOPHEN 500MG + PSEUDOEPHEDRINE 30MG + CHLORPHENIRAMINE 2MG， 一般錠劑膠囊劑，,225482.5
A026299100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,2109
A026314100,PIROXICAM ， 一般錠劑膠囊劑 ， 20.00 MG,0
A026319212,DICYCLOMINE ， 注射劑 ， 20.00 MG,5
A026323100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 500.00 MG,588953.2
A0263241G0,PIROXICAM ， 一般錠劑膠囊劑 ， 10.00 MG,0
A026327100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,0
A026338329,HYDROCORTISONE 10MG/GM + MICONAZOLE 20MG/GM， 外用軟膏劑， 10.00GM,19479.6
A026339100,PROPANTHELINE 7.5MG + ALUMINUM HYDROXIDE 250MG + MAGNESIUM OXIDE 80MG +BROMVALERYLUREA 30MG， 一般錠劑膠囊劑，,0
A026343321,ECONAZOLE ， 外用軟膏劑 ， 10.00  MG/GM ， 5.00 GM,0
A026346100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,197
A026348100,NIFEDIPINE ，一般錠劑膠囊劑， 10.00 MG,0
A026356100,CEFADROXIL ， 一般錠劑膠囊劑 ， 500.00 MG,0
A026357277,DEXTROSE ≦ 50MG/ML + SODIUM CHLORIDE 9MG/ML， 注射劑， 251-500 ML,0
A026384100,PIROXICAM ， 一般錠劑膠囊劑 ， 10.00 MG,0
A026385100,NEFOPAM ， 一般錠劑膠囊劑 ， 30.00 MG,0
A026390100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,18
A026405100,PSEUDOEPHEDRINE 60MG + TRIPROLIDINE 2.50MG  一般錠劑膠囊劑,543545.6
A026428100,GLYBURIDE (=GLIBENCLAMIDE) ， 一般錠劑膠囊劑 ， 5.00 MG,0
A026430100,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,0
A026447212,TRIAMCINOLONE ， 注射劑 ， 80.00 MG,0
A026448216,DICLOFENAC ， 注射劑 ， 75.00 MG,0
A026456100,BUCLIZINE ， 一般錠劑膠囊劑 ， 25.00 MG,0
A026457100,FONAZINE ， 一般錠劑膠囊劑 ， 20.00 MG,0
A026465100,PIPEMIDIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,276
A026467100,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,0
A026476100,EPRAZINONE ， 一般錠劑膠囊劑 ， 20.00 MG,0
A026485212,VITAMIN C (=ASCORBIC ACID) ， 注射劑 ， 500.00 MG,3
A026487100,CEFADROXIL ， 一般錠劑膠囊劑 ， 250.00 MG,818
A026489209,NEFOPAM ， 注射劑 ， 20.00 MG,0
A026491100,PIROXICAM ， 一般錠劑膠囊劑 ， 10.00 MG,0
A026499100,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,0
A026506212,CIMETIDINE ， 注射劑 ， 200.00 MG,1
A026532100,VITAMIN B1 125MG + VITAMIN B6 125MG + VITAMIN B12  125MCG， 一般錠劑膠囊劑，,22555
A026533100,NEFOPAM ， 一般錠劑膠囊劑 ， 30.00 MG,0
A026543100,PIPEMIDIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A026549100,DEXCHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 2.00 MG,14028.5
A026550100,LYSOZYME ， 一般錠劑膠囊劑 ， 90.00 MG,0
A026551121,ACETYLCYSTEINE ， 口服顆粒劑 ， 100.00 MG,33273.5
A026557277,CEFAZOLIN (=CEPHAZOLIN) ， 注射劑 ， 500.00 MG,0
A026559100,DEXCHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 2.00 MG,3640259.8
A026560212,DIPROPHYLLIN 25MG/ML + BUTETHAMATE 2MG/ML + GUAIFENESIN 40MG/ML， 注射劑， 2.00ML,0
A026573209,VITAMIN B12 ， 注射劑 ， 5000.00 MCG,0
A026573212,VITAMIN B12 ， 注射劑 ， 10000.00 MCG,864.5
A026595100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,5827
A026630100,CARBOCYSTEINE ， 一般錠劑膠囊劑 ， 375.00 MG,0
A026633229,LINCOMYCIN ， 注射劑 ， 3000.00 MG,10.2
A026633238,LINCOMYCIN ， 注射劑 ， 6000.00 MG,605.8
A026633299,LINCOMYCIN ， 注射劑 ， 300.00 MG,463.5
A026636329,HYDROCORTISONE 2.5MG/GM + CROTAMITON 100MG/GM， 外用軟膏劑， 10.00GM,253919
A026643100,EPRAZINONE ， 一般錠劑膠囊劑 ， 30.00 MG,266058.9
A026651100,HOMATROPINE 1.2MG + MAGALDRATE 200MG + MAGNESIUM TRISILICATE 150MG， 一般錠劑膠囊劑，,0
A026673100,FENSPIRIDE ， 一般錠劑膠囊劑 ， 40.00 MG,0
A026679100,SULINDAC ， 一般錠劑膠囊劑 ， 200.00 MG,917
A026711100,TANNALBIN ， 一般錠劑膠囊劑 ， 500.00 MG,10766.1
A026717100,CARBOCYSTEINE ， 一般錠劑膠囊劑 ， 375.00 MG,7298.4
A026724100,BERBERINE 25MG + ETHACRIDINE 25MG， 一般錠劑膠囊劑，,0
A026728100,BROMELAIN ， 一般錠劑膠囊劑 ， 50.00 MG,7279.8
A026742100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG， 一般錠劑膠囊劑，,3383.5
A026747500,ACETAMINOPHEN ， 栓劑 ， 100.00 MG,0
A026757100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG， 一般錠劑膠囊劑，,0
A026770100,DIPYRIDAMOLE ， 一般錠劑膠囊劑 ， 25.00 MG,54207
A026787216,DICLOFENAC ， 注射劑 ， 75.00 MG,0
A026798100,BROMHEXINE ， 一般錠劑膠囊劑 ， 12.00 MG,1354624.4
A026805100,FENOTEROL ， 一般錠劑膠囊劑 ， 2.50 MG,1689.6
A026809100,DIMETHICONE 275MG + ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE 100MG + MAGNESIUM HYDROXIDE 90MG， 一般錠劑膠囊劑，,0
A026834100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,16011.5
A026849100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 300.00 MG,273846.5
A026872100,DOXYLAMINE 10MG + VITAMIN B6 10MG， 一般錠劑膠囊劑，,0
A026873100,LOPERAMIDE ， 一般錠劑膠囊劑 ， 2.00 MG,0
A026880100,ISOPRINOSINE ， 一般錠劑膠囊劑 ， 500.00 MG,0
A026881100,PIRENZEPINE ， 一般錠劑膠囊劑 ， 25.00 MG,0
A026906321,TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM， 外用軟膏劑， 5.00GM,1130
A026906329,TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM， 外用軟膏劑， 10.00GM,547
A026906335,TRIAMCINOLONE 1MG/GM + ECONAZOLE 10MG/GM， 外用軟膏劑， 15.00GM,38
A026921209,CHLORPHENIRAMINE ， 注射劑 ， 5.00 MG,0
A026922100,CARBOCYSTEINE ， 一般錠劑膠囊劑 ， 375.00 MG,326950.8
A026936212,VITAMIN B12 ， 注射劑 ， 10000.00 MCG,0
A026954100,OXETHAZAINE 5MG + ALUMINUM HYDROXIDE 124.9MG + MAGNESIUM CARBONATE 83.8MG， 一般錠劑膠囊劑，,0
A026963100,NOSCAPINE 15MG + GUAIFENESIN 100MG， 一般錠劑膠囊劑，,21
A026974100,PRIDINOL ， 一般錠劑膠囊劑 ， 4.00 MG,0
A026984100,PSEUDOEPHEDRINE 60MG + TRIPROLIDINE 2.50MG  一般錠劑膠囊劑,0
A027003265,SODIUM CHLORIDE ， 注射劑 ， 9.00  MG/ML ， 250.00 ML,42
A027007100,SULPIRIDE ， 一般錠劑膠囊劑 ， 50.00 MG,2988
A027011100,PENTOXIFYLLINE ， 一般錠劑膠囊劑 ， 100.00 MG,0
